indice_tiempo,region_de_destino,categoria_del_hotel,tarifa_media_diaria_en_usd,observaciones
2012-05-01,Patagonia,4 y 5 estrellas,98.92,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Patagonia,Para Hoteles,41.8,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Patagonia,Total,65.49,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Buenos Aires,1 y 2 estrellas,30.33,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Buenos Aires,3 estrellas/boutiques/aparts,60.51,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Buenos Aires,4 y 5 estrellas,84.55,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Buenos Aires,Para Hoteles,47.25,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Buenos Aires,Total,51.71,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,CABA,1 y 2 estrellas,46.39,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,CABA,3 estrellas/boutiques/aparts,77.78,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,CABA,4 y 5 estrellas,115.72,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,CABA,Para Hoteles,25.1,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,CABA,Total,83.06,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Cuyo,1 y 2 estrellas,37.31,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Cuyo,3 estrellas/boutiques/aparts,58.3,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Cuyo,4 y 5 estrellas,107.28,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Cuyo,Para Hoteles,24.75,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Cuyo,Total,63.23,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Córdoba,1 y 2 estrellas,49.71,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Córdoba,3 estrellas/boutiques/aparts,72.8,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Córdoba,4 y 5 estrellas,84.77,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Córdoba,Para Hoteles,57.22,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Córdoba,Total,66.41,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Litoral,1 y 2 estrellas,41.02,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Litoral,3 estrellas/boutiques/aparts,56.44,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Litoral,4 y 5 estrellas,90.28,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Litoral,Para Hoteles,39.87,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Litoral,Total,62.42,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Norte,1 y 2 estrellas,47.38,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Norte,3 estrellas/boutiques/aparts,64.44,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Norte,4 y 5 estrellas,91.55,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Norte,Para Hoteles,32.17,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Norte,Total,59.89,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Patagonia,1 y 2 estrellas,44.1,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Patagonia,3 estrellas/boutiques/aparts,84.71,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Patagonia,4 y 5 estrellas,109.96,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Patagonia,Para Hoteles,40.16,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-06-01,Patagonia,Total,71.67,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-07-01,Buenos Aires,1 y 2 estrellas,36.28,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-07-01,Buenos Aires,3 estrellas/boutiques/aparts,80.8,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-07-01,Buenos Aires,4 y 5 estrellas,93.41,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-07-01,Buenos Aires,Para Hoteles,57.24,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-07-01,Buenos Aires,Total,66.44,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-07-01,CABA,1 y 2 estrellas,49.19,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-07-01,CABA,3 estrellas/boutiques/aparts,78.84,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-07-01,CABA,4 y 5 estrellas,111.41,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-07-01,CABA,Para Hoteles,25.13,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-07-01,CABA,Total,80.08,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-07-01,Cuyo,1 y 2 estrellas,39.53,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-07-01,Cuyo,3 estrellas/boutiques/aparts,64.77,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-07-01,Cuyo,4 y 5 estrellas,137.2,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-07-01,Cuyo,Para Hoteles,34.17,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-07-01,Cuyo,Total,74.57,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-07-01,Córdoba,1 y 2 estrellas,48.33,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-07-01,Córdoba,3 estrellas/boutiques/aparts,75.33,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-07-01,Córdoba,4 y 5 estrellas,90.35,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-07-01,Córdoba,Para Hoteles,78.11,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-07-01,Córdoba,Total,71.36,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-07-01,Litoral,1 y 2 estrellas,41.63,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-07-01,Litoral,3 estrellas/boutiques/aparts,59.28,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
