indice_tiempo,region_de_destino,categoria_del_hotel,puestos_de_trabajo_equivalentes,observaciones
2013-03-01,Córdoba,1 y 2 estrellas,1452,""
2013-03-01,Córdoba,3 estrellas/boutiques/aparts,1354,""
2013-03-01,Córdoba,4 y 5 estrellas,863,""
2013-03-01,Córdoba,Para Hoteles,1934,""
2013-03-01,Litoral,1 y 2 estrellas,886,""
2013-03-01,Litoral,3 estrellas/boutiques/aparts,1738,""
2013-03-01,Litoral,4 y 5 estrellas,3348,""
2013-03-01,Litoral,Para Hoteles,1271,""
2013-03-01,Norte,1 y 2 estrellas,720,""
2013-03-01,Norte,3 estrellas/boutiques/aparts,2003,""
2013-03-01,Norte,4 y 5 estrellas,1723,""
2013-03-01,Norte,Para Hoteles,1202,""
2013-03-01,Patagonia,1 y 2 estrellas,1551,""
2013-03-01,Patagonia,3 estrellas/boutiques/aparts,2610,""
2013-03-01,Patagonia,4 y 5 estrellas,2907,""
2013-03-01,Patagonia,Para Hoteles,2379,""
2013-04-01,Buenos Aires,1 y 2 estrellas,837,""
2013-04-01,Buenos Aires,3 estrellas/boutiques/aparts,1738,""
2013-04-01,Buenos Aires,4 y 5 estrellas,1364,""
2013-04-01,Buenos Aires,Para Hoteles,1744,""
2013-04-01,CABA,1 y 2 estrellas,899,""
2013-04-01,CABA,3 estrellas/boutiques/aparts,3561,""
2013-04-01,CABA,4 y 5 estrellas,8228,""
2013-04-01,CABA,Para Hoteles,1384,""
2013-04-01,Cuyo,1 y 2 estrellas,1028,""
2013-04-01,Cuyo,3 estrellas/boutiques/aparts,1857,""
2013-04-01,Cuyo,4 y 5 estrellas,2455,""
2013-04-01,Cuyo,Para Hoteles,754,""
2013-04-01,Córdoba,1 y 2 estrellas,1177,""
2013-04-01,Córdoba,3 estrellas/boutiques/aparts,1249,""
2013-04-01,Córdoba,4 y 5 estrellas,836,""
2013-04-01,Córdoba,Para Hoteles,1648,""
2013-04-01,Litoral,1 y 2 estrellas,817,""
2013-04-01,Litoral,3 estrellas/boutiques/aparts,1768,""
2013-04-01,Litoral,4 y 5 estrellas,3425,""
2013-04-01,Litoral,Para Hoteles,1111,""
2013-04-01,Norte,1 y 2 estrellas,778,""
2013-04-01,Norte,3 estrellas/boutiques/aparts,1935,""
2013-04-01,Norte,4 y 5 estrellas,1752,""
2013-04-01,Norte,Para Hoteles,1142,""
2013-04-01,Patagonia,1 y 2 estrellas,1330,""
2013-04-01,Patagonia,3 estrellas/boutiques/aparts,2214,""
2013-04-01,Patagonia,4 y 5 estrellas,2704,""
2013-04-01,Patagonia,Para Hoteles,1731,""
2013-05-01,Buenos Aires,1 y 2 estrellas,766,""
